Bwd Pkt Len Std,Pkt Size Avg,Flow Duration,Flow IAT Mean,Label
372.0271897528908,820.5068493150685,3974862,55206.41666666666,ddos
0.0,0.0,63,63.0,ddos
740.224402912162,390.375,476078,68011.14285714286,ddos
0.0,0.0,151,75.5,ddos
469.5742752749558,160.42857142857142,472507,78751.16666666669,ddos
0.0,0.0,138,138.0,ddos
398.02009999496255,137.0,469596,78266.0,ddos
0.0,0.0,1978,1978.0,ddos
299.1858953894718,105.57142857142856,468629,78104.83333333334,ddos
0.0,0.0,102,102.0,ddos
491.7053589295117,808.6153846153846,1434885,37760.13157894735,ddos
0.0,0.0,39,39.0,ddos
704.4465859270258,659.2222222222222,966411,56847.70588235294,ddos
0.0,0.0,6,6.0,ddos
670.8147691765996,674.8823529411766,510476,31904.750000000004,ddos
0.0,0.0,6,6.0,ddos
670.8147691765996,674.8823529411766,513876,32117.25,ddos
0.0,0.0,6,6.0,ddos
670.8147691765996,674.8823529411766,506932,31683.25,ddos
0.0,0.0,6,6.0,ddos
670.8147691765996,674.8823529411766,534657,33416.0625,ddos
0.0,0.0,6,6.0,ddos
372.0337704044528,820.2054794520548,4093816,56858.55555555556,ddos
0.0,0.0,137,137.0,ddos
372.0239910197886,880.4705882352941,3510951,52402.25373134328,ddos
0.0,0.0,204,204.0,ddos
376.70658290598885,851.5350877192983,4134203,18212.348017621145,ddos
0.0,17.0,5977626,2988813.0,ddos
413.6155627075108,845.7053571428571,3040957,27396.00900900901,ddos
0.0,33.333333333333336,632174,316087.0,ddos
414.2676227295696,846.0267857142858,3439332,30984.97297297297,ddos
322.9876307640488,893.75,4099567,19429.227488151653,ddos
426.640536266946,818.304,23221098,187266.9193548388,ddos
481.4613346063282,785.244131455399,36959751,174338.4481132075,ddos
252.7937883987205,924.5,3294548,22111.06040268456,ddos
0.0,0.0,134,134.0,ddos
729.7054200155019,438.1111111111112,478928,59866.0,ddos
0.0,0.0,83,83.0,ddos
469.5742752749558,160.57142857142858,472332,78722.0,ddos
0.0,0.0,134,134.0,ddos
584.184902235585,225.875,482777,68968.14285714286,ddos
0.0,0.0,134,67.0,ddos
733.9034580340152,539.7,486964,54107.11111111112,ddos
0.0,0.0,974,487.0,ddos
730.1198531748057,516.2,487376,54152.88888888888,ddos
0.0,0.0,739,369.5,ddos
739.2004367654863,440.3636363636364,3490890,349089.0,ddos
0.0,0.0,6,6.0,ddos
252.7937883987205,930.5436241610738,3192566,21571.391891891893,ddos
0.0,0.0,90,90.0,ddos
252.7858473495696,936.8648648648648,3104990,21122.380952380947,ddos
0.0,0.0,135,135.0,ddos
252.7972473014981,930.530201342282,3211838,21701.60810810811,ddos
0.0,0.0,107,107.0,ddos
252.790490911728,924.3533333333336,3381286,22693.1946308725,ddos
0.0,0.0,89,89.0,ddos
252.7972473014981,930.530201342282,3090618,20882.55405405405,ddos
0.0,0.0,90,90.0,ddos
252.8008676134353,930.51677852349,3357654,22686.851351351368,ddos
0.0,0.0,91,91.0,ddos
252.799037281748,936.8108108108108,3130574,21296.42176870749,ddos
0.0,0.0,79,79.0,ddos
769.9251045826904,478.88888888888886,482454,60306.75,ddos
0.0,0.0,162,162.0,ddos
747.6275810856633,479.2,482639,53626.55555555555,ddos
0.0,0.0,490,245.0,ddos
739.105250575702,446.6363636363636,491922,49192.2,ddos
0.0,0.0,6,6.0,ddos
252.7937883987205,924.34,3403462,22842.02684563758,ddos
0.0,0.0,96,96.0,ddos
425.74734291596,149.0,470405,78400.83333333334,ddos
0.0,0.0,141,141.0,ddos
428.43062448895967,150.0,470524,78420.66666666669,ddos
0.0,0.0,83,83.0,ddos
428.43062448895967,150.0,478574,79762.33333333331,ddos
586.9924758177626,247.125,474602,67800.28571428572,ddos
0.0,0.0,149,74.5,ddos
639.2087396660787,743.1071428571429,1242607,46022.48148148147,ddos
0.0,0.0,340,340.0,ddos
252.8169628094592,930.4630872483224,3301357,22306.46621621621,ddos
0.0,0.0,161,161.0,ddos
252.7937883987205,936.8310810810808,3074001,20911.571428571428,ddos
0.0,0.0,90,90.0,ddos
691.9948940081374,640.8666666666667,499004,35643.142857142855,ddos
0.0,0.0,6,6.0,ddos
673.0557858818918,682.4117647058823,518538,32408.625000000004,ddos
0.0,0.0,6,6.0,ddos
624.7324058726011,751.6785714285713,1253134,46412.37037037036,ddos
0.0,0.0,492,246.0,ddos
0.0,0.0,98502400,98502400.0,ddos
0.0,0.0,99163378,99163378.0,ddos
661.1748866746458,718.578947368421,970444,53913.55555555556,ddos
0.0,0.0,257,128.5,ddos
428.43062448895967,150.0,490519,81753.16666666666,ddos
691.5592768037552,671.0,509307,36379.07142857142,ddos
0.0,0.0,7,7.0,ddos
669.3167255648698,707.3333333333335,986414,49320.70000000001,ddos
0.0,0.0,6,6.0,ddos
659.5039458149242,693.2222222222223,979233,57601.94117647057,ddos
0.0,0.0,6,6.0,ddos
0.0,0.0,83116136,83116136.0,ddos
0.0,0.0,91117838,91117838.0,ddos
658.6309226780141,720.3684210526317,1048116,58228.66666666668,ddos
0.0,0.0,499,249.5,ddos
0.0,0.0,2953018,2953018.0,ddos
672.0171128773434,655.9411764705882,520258,32516.125,ddos
0.0,0.0,7,7.0,ddos
707.3286207822908,600.7857142857142,511579,39352.230769230766,ddos
0.0,0.0,6,6.0,ddos
0.0,0.0,3609225,3609225.0,ddos
672.2379958592961,712.0526315789474,971667,53981.5,ddos
0.0,0.0,295,147.5,ddos
0.0,0.0,1859292,1859292.0,ddos
632.6074855463148,713.55,973865,51256.05263157895,ddos
0.0,0.0,39,39.0,ddos
263.6219806791647,891.9669291338582,111265640,87679.77935382187,ddos
